ObjectId,ogcfid,typ_opatreni,rok_realizace,delka,datum_exportu,GlobalID,SHAPE_Length
298,527,Zákaz vjezdu všech motorových vozidel - B11,2014,407.63,2022/12/16 00:00:00+00,{C7B73866-1826-4050-ABF3-6EE4A7CE9000},0.00546141868855381
299,528,Zákaz vjezdu všech motorových vozidel - B11,2014,62.619999,2022/12/16 00:00:00+00,{61CA96FF-20E1-4DB8-BD26-21F6A6F79197},0.000563148159978408
300,529,Zákaz vjezdu všech motorových vozidel - B11,2014,73.760002,2022/12/16 00:00:00+00,{173802C2-CFF6-4129-9047-569AD3249942},0.000909356279294733
301,530,Zákaz vjezdu všech motorových vozidel - B11,2016,54.849998,2022/12/16 00:00:00+00,{0BBC9418-C402-4EDD-A067-16411BF12030},0.000663956871966138
302,531,Zákaz vjezdu všech motorových vozidel - B11,0,646.54999,2022/12/16 00:00:00+00,{A605A063-9335-44FC-AE2A-A6DD02FCF941},0.00852951531580059
303,532,Zákaz vjezdu všech motorových vozidel - B11,2006,90.879997,2022/12/16 00:00:00+00,{5858EDB9-2C77-48D4-97BE-FFC778A3BC11},0.00124563355139212
304,533,Zákaz vjezdu všech motorových vozidel - B11,1998,370.67999,2022/12/16 00:00:00+00,{50DB631D-304C-48F1-9D43-A5E2DE62B596},0.00500695706399128
305,534,Zákaz vjezdu všech motorových vozidel - B11,1998,187.09,2022/12/16 00:00:00+00,{92CB24CB-10EB-4E8E-92D1-D83B8D5C5F84},0.00211324723400616
306,535,Zákaz vjezdu všech motorových vozidel - B11,2013,77.839996,2022/12/16 00:00:00+00,{9B2CB93E-A21D-4CDA-B64F-6D4AC3E82BE3},0.00087480439720469
307,538,Zákaz vjezdu všech motorových vozidel - B11,1998,56.040001,2022/12/16 00:00:00+00,{8E63D9ED-4EE1-4C9D-836F-FEA211DBFDA4},0.000539766834512368
308,539,Zákaz vjezdu všech motorových vozidel - B11,1998,56.360001,2022/12/16 00:00:00+00,{EFD21EA8-409E-4EE2-99FA-1A09380517A0},0.000534659365558856
309,428,Jízda cyklistů v protisměru (piktogram),2018,695.08002,2022/12/16 00:00:00+00,{F4277715-CE41-4FBB-8850-6659114588A4},0.00937276303043698
310,281,Jízda cyklistů v protisměru (piktogram),2013,48.369999,2022/12/16 00:00:00+00,{735F63FD-E95D-4F4D-A5C1-06404C121A09},0.000595112123257704
311,462,Jízda cyklistů v protisměru - E12,2018,71.790001,2022/12/16 00:00:00+00,{7EA1390C-5C90-463F-9A88-1C7EDCBAD6E1},0.000983550636053764
312,444,Piktogramový koridor pro cyklisty - V20,2018,325.76999,2022/12/16 00:00:00+00,{3D228F06-966D-4337-83B1-472D5CEFBD55},0.00379586818841982
313,443,Piktogramový koridor pro cyklisty - V20,2018,51.650002,2022/12/16 00:00:00+00,{BF2CD97A-0975-4475-A6EA-9B3C5C622326},0.000571944820021518
314,442,Piktogramový koridor pro cyklisty - V20,2018,89.970001,2022/12/16 00:00:00+00,{451F8E78-CAE5-450D-9FC9-3FF7A5F7323D},0.000809948420759512
315,454,Vyhrazený jízdní pruh pro cyklisty - V14,2018,392.45999,2022/12/16 00:00:00+00,{C0900587-BA5C-4216-BA1E-90512D6D2E7E},0.00789382530251851
316,440,Vyhrazený jízdní pruh pro cyklisty - V14,2018,1065.54,2022/12/16 00:00:00+00,{1B6546F3-0AC2-4F8E-AE4F-FA432BF6DBAD},0.0118671018495923
317,439,Piktogramový koridor pro cyklisty - V20,2018,53.150002,2022/12/16 00:00:00+00,{2EAA7B41-5004-48CD-B511-F1416EBF7614},0.000506816167275949
318,438,Vyhrazený jízdní pruh pro cyklisty - V14,2018,289.06,2022/12/16 00:00:00+00,{E2B30D86-E200-4901-AD14-EE0654CFD48E},0.00390061653164931
319,455,Vyhrazený jízdní pruh pro cyklisty - V14,2018,56.549999,2022/12/16 00:00:00+00,{E5576E95-9D1A-4FC5-B732-DCD99F4EDF7C},0.000669587340613877
320,437,Vyhrazený jízdní pruh pro cyklisty - V14,2018,318.78,2022/12/16 00:00:00+00,{D9ED5CFF-8E9A-4C4A-8F68-E7BE6FD14372},0.00374824258246138
321,334,"Vyhrazený pruh pro taxi, cyklo, bus",2014,127.46,2022/12/16 00:00:00+00,{A5E23847-EDB6-44C3-9833-85B60976C5D2},0.00123096599002227
322,333,Vyhrazený jízdní pruh pro cyklisty - V14,2007,99.629997,2022/12/16 00:00:00+00,{235655C2-7829-4514-A45E-F53AC82E00E8},0.0012780373171658
323,332,Vyhrazený jízdní pruh pro cyklisty - V14,2007,270.79001,2022/12/16 00:00:00+00,{F636F81E-06FD-43C5-9C12-2C34A82EDF40},0.00354904853451932
324,331,Vyhrazený jízdní pruh pro cyklisty - V14,2007,171.38,2022/12/16 00:00:00+00,{6DBF47B7-AA99-46C2-85B3-5D4ACFC97F93},0.00224005459299878
325,330,Vyhrazený jízdní pruh pro cyklisty - V14,2010,65.629997,2022/12/16 00:00:00+00,{F88BF069-63F2-48B4-9391-1025D8908F93},0.000746082762948902
326,329,Přejezd pro cyklisty,2018,3.72,2022/12/16 00:00:00+00,{F49CD9FD-D6E0-4210-9B8A-937FA488E3AF},3.90576482444856e-05
327,328,Přejezd pro cyklisty,0,6.1999998,2022/12/16 00:00:00+00,{3BD52FBC-96BF-46DA-B691-2A63E70A66CD},5.58774755155669e-05
328,327,Přejezd pro cyklisty,0,9.0299997,2022/12/16 00:00:00+00,{E787ECE5-71E4-43DB-AAA3-5B8E9D7ED139},0.000118304636904343
329,326,Přejezd pro cyklisty,0,6.8200002,2022/12/16 00:00:00+00,{C44DDC32-2C38-4C79-994F-E272F072437F},9.06955801212265e-05
330,325,Přejezd pro cyklisty,0,6.23,2022/12/16 00:00:00+00,{E908847B-ACCB-480A-8BCE-E7C3DF909A43},5.96133834762315e-05
331,324,Přejezd pro cyklisty,0,6.5300002,2022/12/16 00:00:00+00,{C400AE2F-8B24-410F-B75C-885FD287E414},8.58151338299631e-05
332,323,Přejezd pro cyklisty,0,35.09,2022/12/16 00:00:00+00,{235A47D6-B24D-4922-BC31-D2B37B666C21},0.000453515804160618
333,322,Přejezd pro cyklisty,2013,6.1199999,2022/12/16 00:00:00+00,{200513AC-F7A5-4CCB-98CB-0E5FE22C7F19},7.09483164683636e-05
334,321,Přejezd pro cyklisty,1994,11.09,2022/12/16 00:00:00+00,{A8AA929B-0D98-4521-B2DF-606A4B5681DC},0.000150837998644464
335,320,Přejezd pro cyklisty,0,11.78,2022/12/16 00:00:00+00,{8D94B00A-AFA9-4F3E-B513-6139B1B2BFCA},0.000127628520369857
336,319,Přejezd pro cyklisty,0,26.5,2022/12/16 00:00:00+00,{74E79BD6-9205-4E71-A21A-3B4EBFDA6233},0.000345997138695143
337,318,Přejezd pro cyklisty,0,10.75,2022/12/16 00:00:00+00,{E07412E1-B7CE-487E-8132-B74AD0197EA0},0.000105936384266268
338,317,Přejezd pro cyklisty,0,7.8499999,2022/12/16 00:00:00+00,{1D0E02A8-BD94-47CA-A78C-3B011E3F543B},0.000101533586856832
339,441,Vyhrazený jízdní pruh pro cyklisty - V14,2018,353.85001,2022/12/16 00:00:00+00,{FC48473D-2AB2-433B-A2E5-C102F10D1CB2},0.00345570692162256
340,180,Stezka pro chodce s povoleným vjezdem cyklistů,2020,156.85001,2022/12/16 00:00:00+00,{7636C507-E2D8-436B-A681-14B69842C3AD},0.00153190841444911
341,312,Přejezd pro cyklisty,0,14.16,2022/12/16 00:00:00+00,{2CDA5C5F-240B-43B9-ACCA-9F4B224A7DA9},0.000127502453064861
342,310,Přejezd pro cyklisty,0,17.43,2022/12/16 00:00:00+00,{D4F687B8-E6DA-4364-BBA3-1FC8C5CA8E7A},0.000157067100444515
343,309,Přejezd pro cyklisty,0,10.23,2022/12/16 00:00:00+00,{7DFE1ED0-9652-47B0-BFD2-33E1B9410E21},0.000128521726454374
